Coral ID,Width,Dry weight,Dipped weight,Wax weight,Surface area ,Height,NOTES
V-10 A D,,13.2739,14.1245,0.8506,31.71044,,CRACKED
V-11 A D,1.6,9.3886,9.9947,0.6061,22.56614,4.3,CRACKED
V-11 H C,,8.1646,8.7631,0.5985,22.2819,,CRACKED
V-11 H D,,7.4643,8.1144,0.6501,24.21174,,CRACKED
V-12 A V,3.4,16.4529,17.3494,0.8965,33.4271,3.3,CRACKED
V-14 H D,2.2,11.922,12.5524,0.6304,23.47496,2.6,CRACKED
V-15 A C,2.1,6.9953,7.3892,0.3939,14.62986,3.1,CRACKED
V-1 H D,1.2,8.0482,8.4782,0.43,15.98,4,
V-1 H V,2.2,9.4721,9.962,0.4899,18.22026,2.9,
V-10 H D,4.6,25.5419,26.7269,1.185,44.217,4.1,
V-11 A C,1.8,5.655,6.1048,0.4498,16.72052,3.1,
V-11 H V,1.2,4.7674,5.0839,0.3165,11.7351,2.7,
V-12 A C,1.8,9.3639,9.9817,0.6178,23.00372,4.1,
V-12 A D,3.6,12.8274,13.4433,0.6159,22.93266,2.2,
V-12 H C,1.7,8.4387,8.9503,0.5116,19.03184,3.2,
V-12 H D,2,7.3803,7.7017,0.3214,11.91836,2.5,
V-12 H V,2.6,18.0521,19.1298,1.0777,40.20398,3.8,
V-13 A D,3.6,22.4789,23.8224,1.3435,50.1449,3.8,
V-13 A V,2.4,13.1283,13.8569,0.7286,27.14764,3.1,
V-13 H D,3.6,12.3799,13.0624,0.6825,25.4235,2.9,
V-13 H V,2.7,14.1066,14.9895,0.8829,32.91846,3.3,
V-14 A C,1.8,4.1853,4.3013,0.116,4.2364,2.3,
V-14 A D,2.5,9.6612,10.0921,0.4309,16.01366,2.8,
V-14 A V,2.2,11.6147,12.257,0.6423,23.92002,4.1,
V-14 H C,2.3,4.7706,5.1389,0.3683,13.67242,1.8,
V-14 H V,3.6,6.5546,6.9167,0.3621,13.44054,1.8,
V-15 A D,2.2,11.8638,12.5723,0.7085,26.3959,3.3,
V-15 H D,2.3,11.2219,11.9622,0.7403,27.58522,2.8,
V-2 A D,2.3,19.3576,20.4883,1.1307,42.18618,5.8,
V-2 H C,1.6,6.7892,7.1927,0.4035,14.9889,3.8,
V-2 H D,2.1,14.474,15.3352,0.8612,32.10688,4.2,
V-2 H V,2,12.8927,13.5693,0.6766,25.20284,4.6,
V-3 A D,1.9,6.7233,7.0346,0.3113,11.54062,3.1,
V-3 H C,3.3,22.2157,23.5191,1.3034,48.64516,3.8,
V-3 H D,1.3,3.3307,3.5318,0.2011,7.41914,1.9,
V-3 H V,1.3,9.7168,10.3092,0.5924,22.05376,3.7,
V-4 A D,2.3,10.2462,10.8739,0.6277,23.37398,3.1,
V-4 H C,1.7,8.9064,9.3793,0.4729,17.58446,2.7,
V-4 H D,1.3,10.2499,10.7597,0.5098,18.96452,3.9,
V-4 H V,1.7,6.9479,7.3853,0.4374,16.25676,3.3,
V-7 A D,2.3,12.9,13.4618,0.5618,20.90932,3.3,
V-7 H C,2.1,8.4837,9.1527,0.669,24.9186,3.1,
V-7 H D,2.6,16.1434,17.0716,0.9282,34.61268,3,
V-9 A D,2.6,11.5136,12.0361,0.5225,19.4395,2.8,
V-9 H D,2.9,14.6561,15.4095,0.7534,28.07516,3.1,