Date,Coral ID,Feeding,Feeding_binary
25-May,R-1 A D,N,0
26-May,R-1 A D,N,0
27-May,R-1 A D,N,0
28-May,R-1 A D,N,0
29-May,R-1 A D,N,0
30-May,R-1 A D,N,0
31-May,R-1 A D,N,0
1-Jun,R-1 A D,N,0
2-Jun,R-1 A D,N,0
3-Jun,R-1 A D,N,0
4-Jun,R-1 A D,N,0
5-Jun,R-1 A D,N,0
25-May,R-1 H D,N,0
26-May,R-1 H D,N,0
27-May,R-1 H D,N,0
29-May,R-1 H D,N,0
30-May,R-1 H D,N,0
31-May,R-1 H D,N,0
27-May,R-1 H V,N,0
28-May,R-1 H V,N,0
25-May,R-10 A D,N,0
26-May,R-10 A D,N,0
27-May,R-10 A D,N,0
28-May,R-10 A D,N,0
30-May,R-10 A D,N,0
31-May,R-10 A D,N,0
1-Jun,R-10 A D,N,0
2-Jun,R-10 A D,N,0
3-Jun,R-10 A D,N,0
4-Jun,R-10 A D,N,0
5-Jun,R-10 A D,N,0
25-May,R-10 A V,N,0
26-May,R-10 A V,N,0
27-May,R-10 A V,N,0
28-May,R-10 A V,N,0
26-May,R-10 H D,N,0
25-May,R-11 A D,N,0
27-May,R-11 A D,N,0
29-May,R-11 A D,N,0
31-May,R-11 A D,N,0
2-Jun,R-11 A D,N,0
3-Jun,R-11 A D,N,0
4-Jun,R-11 A D,N,0
5-Jun,R-11 A D,N,0
25-May,R-11 H D,N,0
26-May,R-11 H D,N,0
27-May,R-11 H D,N,0
28-May,R-11 H D,N,0
29-May,R-11 H D,N,0
30-May,R-11 H D,N,0
31-May,R-11 H D,N,0
25-May,R-11 H V,N,0
26-May,R-11 H V,N,0
27-May,R-11 H V,N,0
30-May,R-11 H V,N,0
31-May,R-11 H V,N,0
1-Jun,R-11 H V,N,0
2-Jun,R-11 H V,N,0
3-Jun,R-11 H V,N,0
4-Jun,R-11 H V,N,0
5-Jun,R-11 H V,N,0
25-May,R-12 A D,N,0
29-May,R-12 A D,N,0
30-May,R-12 A D,N,0
31-May,R-12 A D,N,0
1-Jun,R-12 A D,N,0
2-Jun,R-12 A D,N,0
3-Jun,R-12 A D,N,0
4-Jun,R-12 A D,N,0
5-Jun,R-12 A D,N,0
25-May,R-12 H D,N,0
29-May,R-12 H D,N,0
31-May,R-12 H D,N,0
25-May,R-13 A D,N,0
26-May,R-13 A D,N,0
27-May,R-13 A D,N,0
28-May,R-13 A D,N,0
29-May,R-13 A D,N,0
30-May,R-13 A D,N,0
1-Jun,R-13 A D,N,0
2-Jun,R-13 A D,N,0
3-Jun,R-13 A D,N,0
4-Jun,R-13 A D,N,0
5-Jun,R-13 A D,N,0
25-May,R-13 H D,N,0
29-May,R-13 H D,N,0
30-May,R-13 H D,N,0
31-May,R-13 H D,N,0
25-May,R-14 A D,N,0
26-May,R-14 A D,N,0
27-May,R-14 A D,N,0
29-May,R-14 A D,N,0
1-Jun,R-14 A D,N,0
2-Jun,R-14 A D,N,0
3-Jun,R-14 A D,N,0
4-Jun,R-14 A D,N,0
5-Jun,R-14 A D,N,0
29-May,R-14 H D,N,0
30-May,R-14 H D,N,0
31-May,R-14 H D,N,0
1-Jun,R-14 H D,N,0
2-Jun,R-14 H D,N,0
3-Jun,R-14 H D,N,0
4-Jun,R-14 H D,N,0
5-Jun,R-14 H D,N,0
25-May,R-14 H V,N,0
25-May,R-15 A D,N,0
26-May,R-15 A D,N,0
27-May,R-15 A D,N,0
29-May,R-15 A D,N,0
30-May,R-15 A D,N,0
31-May,R-15 A D,N,0
1-Jun,R-15 A D,N,0
2-Jun,R-15 A D,N,0
3-Jun,R-15 A D,N,0
4-Jun,R-15 A D,N,0
5-Jun,R-15 A D,N,0
25-May,R-15 H V,N,0
26-May,R-2 A D,N,0
27-May,R-2 A D,N,0
28-May,R-2 A D,N,0
29-May,R-2 A D,N,0
31-May,R-2 A D,N,0
1-Jun,R-2 A D,N,0
2-Jun,R-2 A D,N,0
3-Jun,R-2 A D,N,0
4-Jun,R-2 A D,N,0
5-Jun,R-2 A D,N,0
25-May,R-2 H V,N,0
26-May,R-2 H V,N,0
27-May,R-2 H V,N,0
27-May,R-3 A D,N,0
28-May,R-3 A D,N,0
30-May,R-3 A D,N,0
31-May,R-3 A D,N,0
2-Jun,R-3 A D,N,0
3-Jun,R-3 A D,N,0
4-Jun,R-3 A D,N,0
5-Jun,R-3 A D,N,0
26-May,R-3 H D,N,0
27-May,R-3 H D,N,0
28-May,R-3 H D,N,0
29-May,R-3 H D,N,0
30-May,R-3 H D,N,0
31-May,R-3 H D,N,0
1-Jun,R-3 H D,N,0
2-Jun,R-3 H D,N,0
3-Jun,R-3 H D,N,0
4-Jun,R-3 H D,N,0
5-Jun,R-3 H D,N,0
25-May,R-4 A D,N,0
26-May,R-4 A D,N,0
27-May,R-4 A D,N,0
28-May,R-4 A D,N,0
29-May,R-4 A D,N,0
30-May,R-4 A D,N,0
31-May,R-4 A D,N,0
1-Jun,R-4 A D,N,0
2-Jun,R-4 A D,N,0
3-Jun,R-4 A D,N,0
4-Jun,R-4 A D,N,0
5-Jun,R-4 A D,N,0
25-May,R-4 H D,N,0
26-May,R-4 H D,N,0
27-May,R-4 H D,N,0
28-May,R-4 H D,N,0
29-May,R-4 H D,N,0
31-May,R-4 H D,N,0
1-Jun,R-4 H D,N,0
2-Jun,R-4 H D,N,0
3-Jun,R-4 H D,N,0
4-Jun,R-4 H D,N,0
5-Jun,R-4 H D,N,0
25-May,R-5 A D,N,0
26-May,R-5 A D,N,0
27-May,R-5 A D,N,0
28-May,R-5 A D,N,0
30-May,R-5 A D,N,0
31-May,R-5 A D,N,0
1-Jun,R-5 A D,N,0
2-Jun,R-5 A D,N,0
3-Jun,R-5 A D,N,0
4-Jun,R-5 A D,N,0
5-Jun,R-5 A D,N,0
25-May,R-5 A V,N,0
26-May,R-5 A V,N,0
25-May,R-5 H D,N,0
26-May,R-5 H D,N,0
27-May,R-5 H D,N,0
31-May,R-5 H D,N,0
1-Jun,R-5 H D,N,0
25-May,R-6 A D,N,0
26-May,R-6 A D,N,0
27-May,R-6 A D,N,0
29-May,R-6 A D,N,0
30-May,R-6 A D,N,0
31-May,R-6 A D,N,0
1-Jun,R-6 A D,N,0
2-Jun,R-6 A D,N,0
3-Jun,R-6 A D,N,0
4-Jun,R-6 A D,N,0
5-Jun,R-6 A D,N,0
25-May,R-6 A V,N,0
25-May,R-6 H D,N,0
26-May,R-6 H D,N,0
29-May,R-6 H D,N,0
30-May,R-6 H D,N,0
25-May,R-7 A D,N,0
27-May,R-7 A D,N,0
31-May,R-7 A D,N,0
1-Jun,R-7 A D,N,0
2-Jun,R-7 A D,N,0
3-Jun,R-7 A D,N,0
4-Jun,R-7 A D,N,0
5-Jun,R-7 A D,N,0
25-May,R-7 H D,N,0
26-May,R-7 H D,N,0
27-May,R-7 H D,N,0
30-May,R-7 H D,N,0
31-May,R-7 H D,N,0
1-Jun,R-7 H D,N,0
2-Jun,R-7 H D,N,0
3-Jun,R-7 H D,N,0
4-Jun,R-7 H D,N,0
5-Jun,R-7 H D,N,0
25-May,R-8 A D,N,0
26-May,R-8 A D,N,0
27-May,R-8 A D,N,0
29-May,R-8 A D,N,0
30-May,R-8 A D,N,0
31-May,R-8 A D,N,0
1-Jun,R-8 A D,N,0
2-Jun,R-8 A D,N,0
3-Jun,R-8 A D,N,0
4-Jun,R-8 A D,N,0
5-Jun,R-8 A D,N,0
25-May,R-8 H D,N,0
26-May,R-8 H D,N,0
28-May,R-8 H D,N,0
30-May,R-8 H D,N,0
31-May,R-8 H D,N,0
26-May,R-8 H V,N,0
27-May,R-8 H V,N,0
25-May,R-9 A D,N,0
26-May,R-9 A D,N,0
27-May,R-9 A D,N,0
28-May,R-9 A D,N,0
29-May,R-9 A D,N,0
30-May,R-9 A D,N,0
31-May,R-9 A D,N,0
1-Jun,R-9 A D,N,0
2-Jun,R-9 A D,N,0
3-Jun,R-9 A D,N,0
4-Jun,R-9 A D,N,0
5-Jun,R-9 A D,N,0
25-May,R-9 A V,N,0
25-May,R-9 H D,N,0
26-May,R-9 H D,N,0
27-May,R-9 H D,N,0
28-May,R-9 H D,N,0
29-May,R-9 H D,N,0
30-May,R-9 H D,N,0
31-May,R-9 H D,N,0
25-May,R-9 H V,N,0
25-May,V-1 A D,N,0
26-May,V-1 A D,N,0
27-May,V-1 A D,N,0
28-May,V-1 A D,N,0
29-May,V-1 A D,N,0
30-May,V-1 A D,N,0
31-May,V-1 A D,N,0
1-Jun,V-1 A D,N,0
2-Jun,V-1 A D,N,0
3-Jun,V-1 A D,N,0
4-Jun,V-1 A D,N,0
5-Jun,V-1 A D,N,0
25-May,V-1 A V,N,0
26-May,V-1 A V,N,0
27-May,V-1 A V,N,0
28-May,V-1 A V,N,0
29-May,V-1 A V,N,0
30-May,V-1 A V,N,0
31-May,V-1 A V,N,0
1-Jun,V-1 A V,N,0
2-Jun,V-1 A V,N,0
3-Jun,V-1 A V,N,0
4-Jun,V-1 A V,N,0
5-Jun,V-1 A V,N,0
26-May,V-10 H D,N,0
27-May,V-10 H D,N,0
28-May,V-10 H D,N,0
29-May,V-10 H D,N,0
30-May,V-10 H D,N,0
25-May,V-11 A D,N,0
26-May,V-11 A D,N,0
27-May,V-11 A D,N,0
26-May,V-11 H D,N,0
26-May,V-12 A D,N,0
27-May,V-12 A D,N,0
25-May,V-12 H D,N,0
26-May,V-12 H D,N,0
25-May,V-13 A D,N,0
26-May,V-13 A D,N,0
27-May,V-13 A D,N,0
28-May,V-13 A D,N,0
29-May,V-13 A D,N,0
30-May,V-13 A D,N,0
26-May,V-13 H D,N,0
25-May,V-14 A D,N,0
26-May,V-14 A D,N,0
27-May,V-14 A D,N,0
25-May,V-14 H D,N,0
26-May,V-14 H D,N,0
25-May,V-15 A D,N,0
26-May,V-15 A D,N,0
26-May,V-15 H D,N,0
26-May,V-2 A D,N,0
28-May,V-2 A D,N,0
29-May,V-2 A D,N,0
25-May,V-2 H D,N,0
26-May,V-2 H D,N,0
25-May,V-3 A D,N,0
26-May,V-3 A D,N,0
27-May,V-3 A D,N,0
25-May,V-4 A D,N,0
26-May,V-4 A D,N,0
27-May,V-4 A D,N,0
26-May,V-7 A D,N,0
25-May,V-9 A D,N,0
26-May,V-9 A D,N,0
27-May,V-9 A D,N,0
25-May,V-9 H D,N,0
26-May,V-9 H D,N,0
27-May,V-9 H D,N,0
28-May,V-9 H D,N,0
25-May,R-1 A V,Y,1
26-May,R-1 A V,Y,1
27-May,R-1 A V,Y,1
28-May,R-1 A V,Y,1
29-May,R-1 A V,Y,1
30-May,R-1 A V,Y,1
31-May,R-1 A V,Y,1
1-Jun,R-1 A V,Y,1
2-Jun,R-1 A V,Y,1
3-Jun,R-1 A V,Y,1
4-Jun,R-1 A V,Y,1
5-Jun,R-1 A V,Y,1
28-May,R-1 H D,Y,1
1-Jun,R-1 H D,Y,1
2-Jun,R-1 H D,Y,1
3-Jun,R-1 H D,Y,1
4-Jun,R-1 H D,Y,1
5-Jun,R-1 H D,Y,1
25-May,R-1 H V,Y,1
26-May,R-1 H V,Y,1
29-May,R-1 H V,Y,1
30-May,R-1 H V,Y,1
31-May,R-1 H V,Y,1
1-Jun,R-1 H V,Y,1
2-Jun,R-1 H V,Y,1
3-Jun,R-1 H V,Y,1
4-Jun,R-1 H V,Y,1
5-Jun,R-1 H V,Y,1
29-May,R-10 A D,Y,1
29-May,R-10 A V,Y,1
30-May,R-10 A V,Y,1
31-May,R-10 A V,Y,1
1-Jun,R-10 A V,Y,1
2-Jun,R-10 A V,Y,1
3-Jun,R-10 A V,Y,1
4-Jun,R-10 A V,Y,1
5-Jun,R-10 A V,Y,1
25-May,R-10 H D,Y,1
27-May,R-10 H D,Y,1
28-May,R-10 H D,Y,1
29-May,R-10 H D,Y,1
30-May,R-10 H D,Y,1
31-May,R-10 H D,Y,1
1-Jun,R-10 H D,Y,1
2-Jun,R-10 H D,Y,1
3-Jun,R-10 H D,Y,1
4-Jun,R-10 H D,Y,1
5-Jun,R-10 H D,Y,1
25-May,R-10 H V,Y,1
26-May,R-10 H V,Y,1
27-May,R-10 H V,Y,1
28-May,R-10 H V,Y,1
29-May,R-10 H V,Y,1
30-May,R-10 H V,Y,1
31-May,R-10 H V,Y,1
1-Jun,R-10 H V,Y,1
2-Jun,R-10 H V,Y,1
3-Jun,R-10 H V,Y,1
4-Jun,R-10 H V,Y,1
5-Jun,R-10 H V,Y,1
26-May,R-11 A D,Y,1
28-May,R-11 A D,Y,1
30-May,R-11 A D,Y,1
1-Jun,R-11 A D,Y,1
25-May,R-11 A V,Y,1
26-May,R-11 A V,Y,1
27-May,R-11 A V,Y,1
28-May,R-11 A V,Y,1
29-May,R-11 A V,Y,1
30-May,R-11 A V,Y,1
31-May,R-11 A V,Y,1
1-Jun,R-11 A V,Y,1
2-Jun,R-11 A V,Y,1
3-Jun,R-11 A V,Y,1
4-Jun,R-11 A V,Y,1
5-Jun,R-11 A V,Y,1
1-Jun,R-11 H D,Y,1
2-Jun,R-11 H D,Y,1
3-Jun,R-11 H D,Y,1
4-Jun,R-11 H D,Y,1
5-Jun,R-11 H D,Y,1
28-May,R-11 H V,Y,1
29-May,R-11 H V,Y,1
26-May,R-12 A D,Y,1
27-May,R-12 A D,Y,1
28-May,R-12 A D,Y,1
25-May,R-12 A V,Y,1
26-May,R-12 A V,Y,1
27-May,R-12 A V,Y,1
28-May,R-12 A V,Y,1
29-May,R-12 A V,Y,1
30-May,R-12 A V,Y,1
31-May,R-12 A V,Y,1
1-Jun,R-12 A V,Y,1
2-Jun,R-12 A V,Y,1
3-Jun,R-12 A V,Y,1
4-Jun,R-12 A V,Y,1
5-Jun,R-12 A V,Y,1
26-May,R-12 H D,Y,1
27-May,R-12 H D,Y,1
28-May,R-12 H D,Y,1
30-May,R-12 H D,Y,1
1-Jun,R-12 H D,Y,1
2-Jun,R-12 H D,Y,1
3-Jun,R-12 H D,Y,1
4-Jun,R-12 H D,Y,1
5-Jun,R-12 H D,Y,1
25-May,R-12 H V,Y,1
26-May,R-12 H V,Y,1
27-May,R-12 H V,Y,1
28-May,R-12 H V,Y,1
29-May,R-12 H V,Y,1
30-May,R-12 H V,Y,1
31-May,R-12 H V,Y,1
1-Jun,R-12 H V,Y,1
2-Jun,R-12 H V,Y,1
3-Jun,R-12 H V,Y,1
4-Jun,R-12 H V,Y,1
5-Jun,R-12 H V,Y,1
31-May,R-13 A D,Y,1
25-May,R-13 A V,Y,1
26-May,R-13 A V,Y,1
27-May,R-13 A V,Y,1
28-May,R-13 A V,Y,1
29-May,R-13 A V,Y,1
30-May,R-13 A V,Y,1
31-May,R-13 A V,Y,1
1-Jun,R-13 A V,Y,1
2-Jun,R-13 A V,Y,1
3-Jun,R-13 A V,Y,1
4-Jun,R-13 A V,Y,1
5-Jun,R-13 A V,Y,1
26-May,R-13 H D,Y,1
27-May,R-13 H D,Y,1
28-May,R-13 H D,Y,1
25-May,R-13 H V,Y,1
26-May,R-13 H V,Y,1
27-May,R-13 H V,Y,1
28-May,R-13 H V,Y,1
29-May,R-13 H V,Y,1
30-May,R-13 H V,Y,1
31-May,R-13 H V,Y,1
1-Jun,R-13 H V,Y,1
2-Jun,R-13 H V,Y,1
3-Jun,R-13 H V,Y,1
4-Jun,R-13 H V,Y,1
5-Jun,R-13 H V,Y,1
28-May,R-14 A D,Y,1
30-May,R-14 A D,Y,1
31-May,R-14 A D,Y,1
25-May,R-14 A V,Y,1
26-May,R-14 A V,Y,1
27-May,R-14 A V,Y,1
28-May,R-14 A V,Y,1
29-May,R-14 A V,Y,1
30-May,R-14 A V,Y,1
31-May,R-14 A V,Y,1
1-Jun,R-14 A V,Y,1
2-Jun,R-14 A V,Y,1
3-Jun,R-14 A V,Y,1
4-Jun,R-14 A V,Y,1
5-Jun,R-14 A V,Y,1
25-May,R-14 H D,Y,1
26-May,R-14 H D,Y,1
27-May,R-14 H D,Y,1
28-May,R-14 H D,Y,1
26-May,R-14 H V,Y,1
27-May,R-14 H V,Y,1
28-May,R-14 H V,Y,1
29-May,R-14 H V,Y,1
30-May,R-14 H V,Y,1
31-May,R-14 H V,Y,1
1-Jun,R-14 H V,Y,1
2-Jun,R-14 H V,Y,1
3-Jun,R-14 H V,Y,1
4-Jun,R-14 H V,Y,1
5-Jun,R-14 H V,Y,1
28-May,R-15 A D,Y,1
25-May,R-15 A V,Y,1
26-May,R-15 A V,Y,1
27-May,R-15 A V,Y,1
28-May,R-15 A V,Y,1
29-May,R-15 A V,Y,1
30-May,R-15 A V,Y,1
31-May,R-15 A V,Y,1
1-Jun,R-15 A V,Y,1
2-Jun,R-15 A V,Y,1
3-Jun,R-15 A V,Y,1
4-Jun,R-15 A V,Y,1
5-Jun,R-15 A V,Y,1
25-May,R-15 H D,Y,1
26-May,R-15 H D,Y,1
27-May,R-15 H D,Y,1
28-May,R-15 H D,Y,1
29-May,R-15 H D,Y,1
30-May,R-15 H D,Y,1
31-May,R-15 H D,Y,1
26-May,R-15 H V,Y,1
27-May,R-15 H V,Y,1
28-May,R-15 H V,Y,1
29-May,R-15 H V,Y,1
30-May,R-15 H V,Y,1
31-May,R-15 H V,Y,1
1-Jun,R-15 H V,Y,1
2-Jun,R-15 H V,Y,1
3-Jun,R-15 H V,Y,1
4-Jun,R-15 H V,Y,1
5-Jun,R-15 H V,Y,1
25-May,R-2 A D,Y,1
30-May,R-2 A D,Y,1
25-May,R-2 A V,Y,1
26-May,R-2 A V,Y,1
27-May,R-2 A V,Y,1
28-May,R-2 A V,Y,1
29-May,R-2 A V,Y,1
30-May,R-2 A V,Y,1
31-May,R-2 A V,Y,1
1-Jun,R-2 A V,Y,1
2-Jun,R-2 A V,Y,1
3-Jun,R-2 A V,Y,1
4-Jun,R-2 A V,Y,1
5-Jun,R-2 A V,Y,1
25-May,R-2 H D,Y,1
26-May,R-2 H D,Y,1
27-May,R-2 H D,Y,1
25-May,R-3 A D,Y,1
26-May,R-3 A D,Y,1
29-May,R-3 A D,Y,1
1-Jun,R-3 A D,Y,1
25-May,R-3 A V,Y,1
26-May,R-3 A V,Y,1
27-May,R-3 A V,Y,1
28-May,R-3 A V,Y,1
29-May,R-3 A V,Y,1
30-May,R-3 A V,Y,1
31-May,R-3 A V,Y,1
1-Jun,R-3 A V,Y,1
2-Jun,R-3 A V,Y,1
3-Jun,R-3 A V,Y,1
4-Jun,R-3 A V,Y,1
5-Jun,R-3 A V,Y,1
25-May,R-3 H D,Y,1
25-May,R-3 H V,Y,1
26-May,R-3 H V,Y,1
27-May,R-3 H V,Y,1
28-May,R-3 H V,Y,1
29-May,R-3 H V,Y,1
30-May,R-3 H V,Y,1
31-May,R-3 H V,Y,1
1-Jun,R-3 H V,Y,1
2-Jun,R-3 H V,Y,1
3-Jun,R-3 H V,Y,1
4-Jun,R-3 H V,Y,1
5-Jun,R-3 H V,Y,1
25-May,R-4 A V,Y,1
26-May,R-4 A V,Y,1
27-May,R-4 A V,Y,1
28-May,R-4 A V,Y,1
29-May,R-4 A V,Y,1
30-May,R-4 A V,Y,1
31-May,R-4 A V,Y,1
1-Jun,R-4 A V,Y,1
2-Jun,R-4 A V,Y,1
3-Jun,R-4 A V,Y,1
4-Jun,R-4 A V,Y,1
5-Jun,R-4 A V,Y,1
30-May,R-4 H D,Y,1
25-May,R-4 H V,Y,1
26-May,R-4 H V,Y,1
