Coral species,Coral ID,Snail,Treatment,Colony ID,Image number,Live tissue,Dead tissue
Porites,R-1 A C,Control,Ambient,Rus-1,1,9.342,1.643
Porites,R-1 A C,Control,Ambient,Rus-1,2,6.662,0.191
Porites,R-1 A C,Control,Ambient,Rus-1,3,7.936,0.6357
Porites,R-1 A C,Control,Ambient,Rus-1,4,6.147,0.077
Porites,R-1 A C,Control,Ambient,Rus-1,5,6.59,0
Porites,R-1 A D,Drupella,Ambient,Rus-1,1,7.796,0
Porites,R-1 A D,Drupella,Ambient,Rus-1,2,6.134,0
Porites,R-1 A D,Drupella,Ambient,Rus-1,3,7.276,0
Porites,R-1 A D,Drupella,Ambient,Rus-1,4,5.743,0
Porites,R-1 A D,Drupella,Ambient,Rus-1,5,7.297,0
Porites,R-1 A V,Coralliophila,Ambient,Rus-1,1,8.947,0
Porites,R-1 A V,Coralliophila,Ambient,Rus-1,2,11.686,0.428
Porites,R-1 A V,Coralliophila,Ambient,Rus-1,3,7.571,3.971
Porites,R-1 A V,Coralliophila,Ambient,Rus-1,4,8.569,0.442
Porites,R-1 A V,Coralliophila,Ambient,Rus-1,5,10.554,1.037
Porites,R-1 H C,Control,Heated,Rus-1,1,6.651,0
Porites,R-1 H C,Control,Heated,Rus-1,2,6.389,0
Porites,R-1 H C,Control,Heated,Rus-1,3,5.638,0
Porites,R-1 H C,Control,Heated,Rus-1,4,7.414,0
Porites,R-1 H C,Control,Heated,Rus-1,5,4.767,0
Porites,R-1 H D,Drupella,Heated,Rus-1,1,12.994,1.845
Porites,R-1 H D,Drupella,Heated,Rus-1,2,8.329,0.835
Porites,R-1 H D,Drupella,Heated,Rus-1,3,11.747,0.998
Porites,R-1 H D,Drupella,Heated,Rus-1,4,9.692,0.884
Porites,R-1 H D,Drupella,Heated,Rus-1,5,10.895,1.191
Porites,R-1 H V,Coralliophila,Heated,Rus-1,1,7.873,0.829
Porites,R-1 H V,Coralliophila,Heated,Rus-1,2,7.741,0
Porites,R-1 H V,Coralliophila,Heated,Rus-1,3,8.135,0
Porites,R-1 H V,Coralliophila,Heated,Rus-1,4,6.501,0
Porites,R-1 H V,Coralliophila,Heated,Rus-1,5,7.462,0.095
Porites,R-10 A C,Control,Ambient,Rus-10,1,3.926,0
Porites,R-10 A C,Control,Ambient,Rus-10,2,6.636,0
Porites,R-10 A C,Control,Ambient,Rus-10,3,4.326,0
Porites,R-10 A C,Control,Ambient,Rus-10,4,4.852,0
Porites,R-10 A C,Control,Ambient,Rus-10,5,5.054,0
Porites,R-10 A D,Drupella,Ambient,Rus-10,1,7.917,2.022
Porites,R-10 A D,Drupella,Ambient,Rus-10,2,8.447,2.026
Porites,R-10 A D,Drupella,Ambient,Rus-10,3,9.334,0.877
Porites,R-10 A D,Drupella,Ambient,Rus-10,4,5.707,0.299
Porites,R-10 A D,Drupella,Ambient,Rus-10,5,6.631,0.314
Porites,R-10 A V,Coralliophila,Ambient,Rus-10,1,4.286,0.779
Porites,R-10 A V,Coralliophila,Ambient,Rus-10,2,3.946,0.342
Porites,R-10 A V,Coralliophila,Ambient,Rus-10,3,4.991,0
Porites,R-10 A V,Coralliophila,Ambient,Rus-10,4,3.009,0
Porites,R-10 A V,Coralliophila,Ambient,Rus-10,5,2.912,0
Porites,R-10 H C,Control,Heated,Rus-10,1,10.011,0.766
Porites,R-10 H C,Control,Heated,Rus-10,2,6.6,1.454
Porites,R-10 H C,Control,Heated,Rus-10,3,8.668,0.604
Porites,R-10 H C,Control,Heated,Rus-10,4,6.461,0
Porites,R-10 H C,Control,Heated,Rus-10,5,8.474,0.529
Porites,R-10 H D,Drupella,Heated,Rus-10,1,5.428,1.721
Porites,R-10 H D,Drupella,Heated,Rus-10,2,3.468,2.091
Porites,R-10 H D,Drupella,Heated,Rus-10,3,4.788,4.03
Porites,R-10 H D,Drupella,Heated,Rus-10,4,3.56,2.925
Porites,R-10 H D,Drupella,Heated,Rus-10,5,2.999,2.468
Porites,R-10 H V,Coralliophila,Heated,Rus-10,1,7.042,7.042
Porites,R-10 H V,Coralliophila,Heated,Rus-10,2,4.998,4.998
Porites,R-10 H V,Coralliophila,Heated,Rus-10,3,5.946,5.946
Porites,R-10 H V,Coralliophila,Heated,Rus-10,4,5.481,5.481
Porites,R-10 H V,Coralliophila,Heated,Rus-10,5,6.054,5.818
Porites,R-11 A C,Control,Ambient,Rus-11,1,4.701,0
Porites,R-11 A C,Control,Ambient,Rus-11,2,6.171,0
Porites,R-11 A C,Control,Ambient,Rus-11,3,5.318,0
Porites,R-11 A C,Control,Ambient,Rus-11,4,5.491,0
Porites,R-11 A C,Control,Ambient,Rus-11,5,7.625,0
Porites,R-11 A D,Drupella,Ambient,Rus-11,1,9.556,6.322
Porites,R-11 A D,Drupella,Ambient,Rus-11,2,7.992,6.356
Porites,R-11 A D,Drupella,Ambient,Rus-11,3,11.158,7.309
Porites,R-11 A D,Drupella,Ambient,Rus-11,4,8.244,2.797
Porites,R-11 A D,Drupella,Ambient,Rus-11,5,9.958,6.094
Porites,R-11 A V,Coralliophila,Ambient,Rus-11,1,9.945,1.327
Porites,R-11 A V,Coralliophila,Ambient,Rus-11,2,6.292,0.352
Porites,R-11 A V,Coralliophila,Ambient,Rus-11,3,8.567,0
Porites,R-11 A V,Coralliophila,Ambient,Rus-11,4,7.186,0
Porites,R-11 A V,Coralliophila,Ambient,Rus-11,5,7.356,0
Porites,R-11 H C,Control,Heated,Rus-11,1,6.374,0.667
Porites,R-11 H C,Control,Heated,Rus-11,2,6.813,1.434
Porites,R-11 H C,Control,Heated,Rus-11,3,8.029,0.916
Porites,R-11 H C,Control,Heated,Rus-11,4,7.318,0
Porites,R-11 H C,Control,Heated,Rus-11,5,5.852,0
Porites,R-11 H D,Drupella,Heated,Rus-11,1,9.378,0
Porites,R-11 H D,Drupella,Heated,Rus-11,2,6.757,6.757
Porites,R-11 H D,Drupella,Heated,Rus-11,3,6.772,4.938
Porites,R-11 H D,Drupella,Heated,Rus-11,4,6.979,1.832
Porites,R-11 H D,Drupella,Heated,Rus-11,5,5.909,0.147
Porites,R-11 H V,Coralliophila,Heated,Rus-11,1,15.03,1.58
Porites,R-11 H V,Coralliophila,Heated,Rus-11,2,6.848,0
Porites,R-11 H V,Coralliophila,Heated,Rus-11,3,11.407,0
Porites,R-11 H V,Coralliophila,Heated,Rus-11,4,8.42,0
Porites,R-11 H V,Coralliophila,Heated,Rus-11,5,9.991,0
Porites,R-12 A C,Control,Ambient,Rus-12,1,11.101,0
Porites,R-12 A C,Control,Ambient,Rus-12,2,8.288,0
Porites,R-12 A C,Control,Ambient,Rus-12,3,11.685,0
Porites,R-12 A C,Control,Ambient,Rus-12,4,10.152,0
Porites,R-12 A C,Control,Ambient,Rus-12,5,6.359,0
Porites,R-12 A D,Drupella,Ambient,Rus-12,1,4.555,4.511
Porites,R-12 A D,Drupella,Ambient,Rus-12,2,4.026,3.039
Porites,R-12 A D,Drupella,Ambient,Rus-12,3,5.431,4.44
Porites,R-12 A D,Drupella,Ambient,Rus-12,4,4.249,1.159
Porites,R-12 A D,Drupella,Ambient,Rus-12,5,3.825,3.446
Porites,R-12 A V,Coralliophila,Ambient,Rus-12,1,9.324,0.788
Porites,R-12 A V,Coralliophila,Ambient,Rus-12,2,7.426,0.17
Porites,R-12 A V,Coralliophila,Ambient,Rus-12,3,9.402,0
Porites,R-12 A V,Coralliophila,Ambient,Rus-12,4,6.882,1.236
Porites,R-12 A V,Coralliophila,Ambient,Rus-12,5,8.546,0.143
Porites,R-12 H C,Control,Heated,Rus-12,1,6.818,0
Porites,R-12 H C,Control,Heated,Rus-12,2,5.967,0
Porites,R-12 H C,Control,Heated,Rus-12,3,4.955,0
Porites,R-12 H C,Control,Heated,Rus-12,4,5.853,0
Porites,R-12 H C,Control,Heated,Rus-12,5,5.241,0
Porites,R-12 H D,Drupella,Heated,Rus-12,1,7.028,3.511
Porites,R-12 H D,Drupella,Heated,Rus-12,2,5.819,3.308
Porites,R-12 H D,Drupella,Heated,Rus-12,3,7.224,5.38
Porites,R-12 H D,Drupella,Heated,Rus-12,4,5.794,3.818
Porites,R-12 H D,Drupella,Heated,Rus-12,5,5.921,2.166
Porites,R-12 H V,Coralliophila,Heated,Rus-12,1,8.375,0.573
Porites,R-12 H V,Coralliophila,Heated,Rus-12,2,6.232,0.542
Porites,R-12 H V,Coralliophila,Heated,Rus-12,3,9.666,0
Porites,R-12 H V,Coralliophila,Heated,Rus-12,4,7.321,1.098
Porites,R-12 H V,Coralliophila,Heated,Rus-12,5,7.094,0.174
Porites,R-13 A C,Control,Ambient,Rus-13,1,3.977,0
Porites,R-13 A C,Control,Ambient,Rus-13,2,4.409,0
Porites,R-13 A C,Control,Ambient,Rus-13,3,5.687,0
Porites,R-13 A C,Control,Ambient,Rus-13,4,5.041,0
Porites,R-13 A C,Control,Ambient,Rus-13,5,5.938,0
Porites,R-13 A D,Drupella,Ambient,Rus-13,1,6.467,1.801
Porites,R-13 A D,Drupella,Ambient,Rus-13,2,5.789,1.871
Porites,R-13 A D,Drupella,Ambient,Rus-13,3,6.644,0
Porites,R-13 A D,Drupella,Ambient,Rus-13,4,6.15,0.222
Porites,R-13 A D,Drupella,Ambient,Rus-13,5,7.414,0
Porites,R-13 A V,Coralliophila,Ambient,Rus-13,1,8.306,0
Porites,R-13 A V,Coralliophila,Ambient,Rus-13,2,8.562,0.474
Porites,R-13 A V,Coralliophila,Ambient,Rus-13,3,10.128,0
Porites,R-13 A V,Coralliophila,Ambient,Rus-13,4,9.079,0
Porites,R-13 A V,Coralliophila,Ambient,Rus-13,5,7.447,0.067
Porites,R-13 H C,Control,Heated,Rus-13,1,7.688,0
Porites,R-13 H C,Control,Heated,Rus-13,2,6.422,0
Porites,R-13 H C,Control,Heated,Rus-13,3,7.232,0
Porites,R-13 H C,Control,Heated,Rus-13,4,11.345,0
Porites,R-13 H C,Control,Heated,Rus-13,5,6.987,0
Porites,R-13 H V,Coralliophila,Heated,Rus-13,1,4.733,3.034
Porites,R-13 H V,Coralliophila,Heated,Rus-13,2,5.427,3.117
Porites,R-13 H V,Coralliophila,Heated,Rus-13,3,5.423,3.868
Porites,R-13 H V,Coralliophila,Heated,Rus-13,4,6.686,5.483
Porites,R-13 H V,Coralliophila,Heated,Rus-13,5,8.299,4.28
Porites,R-14 A C,Control,Ambient,Rus-14,1,15.99,0
Porites,R-14 A C,Control,Ambient,Rus-14,2,15.004,0
Porites,R-14 A C,Control,Ambient,Rus-14,3,18.731,0
Porites,R-14 A C,Control,Ambient,Rus-14,4,12.136,0
Porites,R-14 A C,Control,Ambient,Rus-14,5,13.893,0
Porites,R-14 A D,Drupella,Ambient,Rus-14,1,13.71,3.3
Porites,R-14 A D,Drupella,Ambient,Rus-14,2,14.238,1.54
Porites,R-14 A D,Drupella,Ambient,Rus-14,3,17.47,0.193
Porites,R-14 A D,Drupella,Ambient,Rus-14,4,19.723,0
Porites,R-14 A D,Drupella,Ambient,Rus-14,5,17.229,3.285
Porites,R-14 A V,Coralliophila,Ambient,Rus-14,1,13.587,2.924
Porites,R-14 A V,Coralliophila,Ambient,Rus-14,2,6.301,0.496
Porites,R-14 A V,Coralliophila,Ambient,Rus-14,3,9.64,0
Porites,R-14 A V,Coralliophila,Ambient,Rus-14,4,7.076,0.305
Porites,R-14 A V,Coralliophila,Ambient,Rus-14,5,8.441,1.109
Porites,R-14 H C,Control,Heated,Rus-14,1,5.488,0
Porites,R-14 H C,Control,Heated,Rus-14,2,5.466,0
Porites,R-14 H C,Control,Heated,Rus-14,3,5.39,0
Porites,R-14 H C,Control,Heated,Rus-14,4,5.068,0
Porites,R-14 H C,Control,Heated,Rus-14,5,4.168,0
Porites,R-14 H D,Drupella,Heated,Rus-14,1,9.789,2.952
Porites,R-14 H D,Drupella,Heated,Rus-14,2,7.556,2.128
Porites,R-14 H D,Drupella,Heated,Rus-14,3,9.632,3.086
Porites,R-14 H D,Drupella,Heated,Rus-14,4,6.073,2.465
Porites,R-14 H D,Drupella,Heated,Rus-14,5,3.466,0
Porites,R-14 H V,Coralliophila,Heated,Rus-14,1,8.737,4.124
Porites,R-14 H V,Coralliophila,Heated,Rus-14,2,6.015,1.802
Porites,R-14 H V,Coralliophila,Heated,Rus-14,3,9.496,3.058
Porites,R-14 H V,Coralliophila,Heated,Rus-14,4,7.433,1.105
Porites,R-14 H V,Coralliophila,Heated,Rus-14,5,6.288,1.276
Porites,R-15 A C,Control,Ambient,Rus-15,1,13.172,0
Porites,R-15 A C,Control,Ambient,Rus-15,2,9.29,0
Porites,R-15 A C,Control,Ambient,Rus-15,3,11.167,0
Porites,R-15 A C,Control,Ambient,Rus-15,4,11.233,0
Porites,R-15 A C,Control,Ambient,Rus-15,5,12.878,0
Porites,R-15 A D,Drupella,Ambient,Rus-15,1,8.339,1.884
Porites,R-15 A D,Drupella,Ambient,Rus-15,2,6.947,3.049
Porites,R-15 A D,Drupella,Ambient,Rus-15,3,7.006,1.167
Porites,R-15 A D,Drupella,Ambient,Rus-15,4,6.393,0.377
Porites,R-15 A D,Drupella,Ambient,Rus-15,5,7.093,0.518
Porites,R-15 A V,Coralliophila,Ambient,Rus-15,1,6.962,1.305
Porites,R-15 A V,Coralliophila,Ambient,Rus-15,2,5.199,0.401
Porites,R-15 A V,Coralliophila,Ambient,Rus-15,3,7.066,0
Porites,R-15 A V,Coralliophila,Ambient,Rus-15,4,7.63,0
Porites,R-15 A V,Coralliophila,Ambient,Rus-15,5,6.106,0
Porites,R-15 H C,Control,Heated,Rus-15,1,5.822,2.157
Porites,R-15 H C,Control,Heated,Rus-15,2,4.699,1.539
Porites,R-15 H C,Control,Heated,Rus-15,3,4.686,0.985
Porites,R-15 H C,Control,Heated,Rus-15,4,5.176,1.016
Porites,R-15 H C,Control,Heated,Rus-15,5,5.287,0.552
Porites,R-15 H V,Coralliophila,Heated,Rus-15,1,5.049,4.02
Porites,R-15 H V,Coralliophila,Heated,Rus-15,2,3.6,3.215
Porites,R-15 H V,Coralliophila,Heated,Rus-15,3,4.77,3.997
Porites,R-15 H V,Coralliophila,Heated,Rus-15,4,3.623,2.327
Porites,R-15 H V,Coralliophila,Heated,Rus-15,5,5.06,2.761
Porites,R-2 A C,Control,Ambient,Rus-2,1,10.398,0
Porites,R-2 A C,Control,Ambient,Rus-2,2,9.439,0.397
Porites,R-2 A C,Control,Ambient,Rus-2,3,7.722,0
Porites,R-2 A C,Control,Ambient,Rus-2,4,9.3,0
Porites,R-2 A C,Control,Ambient,Rus-2,5,10.36,0
Porites,R-2 A D,Drupella,Ambient,Rus-2,1,6.945,4.436
Porites,R-2 A D,Drupella,Ambient,Rus-2,2,4.474,4.105
Porites,R-2 A D,Drupella,Ambient,Rus-2,3,5.885,4.017
Porites,R-2 A D,Drupella,Ambient,Rus-2,4,4.459,4.459
Porites,R-2 A D,Drupella,Ambient,Rus-2,5,3.642,3.642
Porites,R-2 A V,Coralliophila,Ambient,Rus-2,1,10.516,1.18
Porites,R-2 A V,Coralliophila,Ambient,Rus-2,2,4.4278,0.081
Porites,R-2 A V,Coralliophila,Ambient,Rus-2,3,12.333,0
Porites,R-2 A V,Coralliophila,Ambient,Rus-2,4,4.544,0.364
Porites,R-2 A V,Coralliophila,Ambient,Rus-2,5,8.321,0.149
Porites,R-2 H C,Control,Heated,Rus-2,1,7.093,1.656
Porites,R-2 H C,Control,Heated,Rus-2,2,6.662,4.761
Porites,R-2 H C,Control,Heated,Rus-2,3,8.255,0
Porites,R-2 H C,Control,Heated,Rus-2,4,7.012,0.797
Porites,R-2 H C,Control,Heated,Rus-2,5,8.034,0.163
Porites,R-3 A C,Control,Ambient,Rus-3,1,6.021,0
Porites,R-3 A C,Control,Ambient,Rus-3,2,6.046,0
Porites,R-3 A C,Control,Ambient,Rus-3,3,7.201,0
Porites,R-3 A C,Control,Ambient,Rus-3,4,4.192,0
Porites,R-3 A C,Control,Ambient,Rus-3,5,3.967,0
Porites,R-3 A D,Drupella,Ambient,Rus-3,1,7.133,6.848
Porites,R-3 A D,Drupella,Ambient,Rus-3,2,7.133,6.604
Porites,R-3 A D,Drupella,Ambient,Rus-3,3,6.495,5.464
Porites,R-3 A D,Drupella,Ambient,Rus-3,4,7.763,7.656
Porites,R-3 A D,Drupella,Ambient,Rus-3,5,5.398,5.358
Porites,R-3 A V,Coralliophila,Ambient,Rus-3,1,10.272,1.263
Porites,R-3 A V,Coralliophila,Ambient,Rus-3,2,6.536,0.588
Porites,R-3 A V,Coralliophila,Ambient,Rus-3,3,10.536,0
Porites,R-3 A V,Coralliophila,Ambient,Rus-3,4,8.418,0
Porites,R-3 A V,Coralliophila,Ambient,Rus-3,5,8.333,0
Porites,R-3 H C,Control,Heated,Rus-3,1,9.812,0
Porites,R-3 H C,Control,Heated,Rus-3,2,7.676,0
Porites,R-3 H C,Control,Heated,Rus-3,3,9.922,0
Porites,R-3 H C,Control,Heated,Rus-3,4,8.665,0
Porites,R-3 H C,Control,Heated,Rus-3,5,11.091,0
Porites,R-3 H D,Drupella,Heated,Rus-3,1,8.65,0
Porites,R-3 H D,Drupella,Heated,Rus-3,2,3.909,0
Porites,R-3 H D,Drupella,Heated,Rus-3,3,7.988,0
Porites,R-3 H D,Drupella,Heated,Rus-3,4,3.515,0
Porites,R-3 H D,Drupella,Heated,Rus-3,5,5.534,0
Porites,R-3 H V,Coralliophila,Heated,Rus-3,1,6.068,0
Porites,R-3 H V,Coralliophila,Heated,Rus-3,2,3.703,0
Porites,R-3 H V,Coralliophila,Heated,Rus-3,3,7.483,2.01
Porites,R-3 H V,Coralliophila,Heated,Rus-3,4,4.949,0.155
Porites,R-3 H V,Coralliophila,Heated,Rus-3,5,4.678,0
Porites,R-4 A C,Control,Ambient,Rus-4,1,6.238,0
Porites,R-4 A C,Control,Ambient,Rus-4,2,5.527,0
Porites,R-4 A C,Control,Ambient,Rus-4,3,7.563,0
Porites,R-4 A C,Control,Ambient,Rus-4,4,7.024,0
Porites,R-4 A C,Control,Ambient,Rus-4,5,6.195,0
Porites,R-4 A D,Drupella,Ambient,Rus-4,1,9.401,4.736
Porites,R-4 A D,Drupella,Ambient,Rus-4,2,8.181,3.146
Porites,R-4 A D,Drupella,Ambient,Rus-4,3,9.874,1.652
Porites,R-4 A D,Drupella,Ambient,Rus-4,4,9.336,2.419
Porites,R-4 A D,Drupella,Ambient,Rus-4,5,7.023,0.366
Porites,R-4 A V,Coralliophila,Ambient,Rus-4,1,8.719,1.353
Porites,R-4 A V,Coralliophila,Ambient,Rus-4,2,7.478,1.678
Porites,R-4 A V,Coralliophila,Ambient,Rus-4,3,8.702,0
Porites,R-4 A V,Coralliophila,Ambient,Rus-4,4,6.645,0
Porites,R-4 A V,Coralliophila,Ambient,Rus-4,5,12.511,1.619
Porites,R-4 H C,Control,Heated,Rus-4,1,14.058,0.428
Porites,R-4 H C,Control,Heated,Rus-4,2,12.6,0
Porites,R-4 H C,Control,Heated,Rus-4,3,12.153,0
Porites,R-4 H C,Control,Heated,Rus-4,4,16.582,0
Porites,R-4 H C,Control,Heated,Rus-4,5,15.252,0
Porites,R-4 H D,Drupella,Heated,Rus-4,1,10.704,3.805
Porites,R-4 H D,Drupella,Heated,Rus-4,2,6.944,2.429
Porites,R-4 H D,Drupella,Heated,Rus-4,3,10.797,2.676
Porites,R-4 H D,Drupella,Heated,Rus-4,4,6.14,3.068
Porites,R-4 H D,Drupella,Heated,Rus-4,5,7.87,1.042
Porites,R-4 H V,Coralliophila,Heated,Rus-4,1,8.967,2.586
Porites,R-4 H V,Coralliophila,Heated,Rus-4,2,14.099,5.018
Porites,R-4 H V,Coralliophila,Heated,Rus-4,3,17.634,4.502
Porites,R-4 H V,Coralliophila,Heated,Rus-4,4,17.18,3.763
Porites,R-4 H V,Coralliophila,Heated,Rus-4,5,12.611,1.639
Porites,R-5 A C,Control,Ambient,Rus-5,1,8.296,0
Porites,R-5 A C,Control,Ambient,Rus-5,2,5.142,0
Porites,R-5 A C,Control,Ambient,Rus-5,3,7.008,0
Porites,R-5 A C,Control,Ambient,Rus-5,4,5.846,0
Porites,R-5 A C,Control,Ambient,Rus-5,5,8.577,0
Porites,R-5 A D,Drupella,Ambient,Rus-5,1,6.836,1.237
Porites,R-5 A D,Drupella,Ambient,Rus-5,2,6.955,1.728
